Year,Population,female,male
1970,2000,1000,1000
1971,1894,952,942
1972,1816,915,901
1973,1774,905,869
1974,1760,903,857
1975,1736,904,832
1976,1693,887,806
1977,1648,868,780
1978,1625,858,767
1979,1617,864,753
1980,1623,864,759
1981,1618,861,757
1982,1586,855,731
1983,1574,852,722
1984,1570,853,717
1985,1572,856,716
1986,1566,861,705
1987,1562,852,710
1988,1545,844,701
1989,1553,857,696
1990,1561,859,702
1991,1565,862,703
1992,1565,859,706
1993,1582,873,709
1994,1581,873,708
1995,1610,891,719
1996,1612,897,715
1997,1634,904,730
1998,1639,915,724
1999,1643,914,729
2000,1674,933,741
2001,1703,947,756
2002,1722,968,754
2003,1733,983,750
2004,1745,990,755
2005,1775,1005,770
2006,1774,998,776
2007,1800,1016,784
2008,1825,1032,793
2009,1850,1044,806
2010,1862,1049,813
2011,1868,1048,820
2012,1874,1065,809
2013,1910,1083,827
2014,1939,1105,834
2015,1958,1119,839
2016,1976,1126,850
2017,1996,1141,855
2018,2026,1161,865
2019,2063,1176,887
2020,2084,1185,899
2021,2107,1202,905
2022,2146,1218,928
